sku,vendor,title,super_category,primary_category,product_category_type,collection_name,material,colour_finish,width_mm,depth_mm,height_mm,installation_type,warranty_years,weight_kg,confidence
BT420,ADP,ADP Dish Under Counter Basin - Gloss White - BT420,Basins,Basins,,,,,,,,,,,0.868
BT120,ADP,ADP Fiore Above Counter Basin - Gloss White - BT120,Basins,Basins,,,,,,,,,,,0.911
TOPPFLU400WM,ADP,ADP Flume Above Counter Basin - Gloss White - TOPPFLU400WM,Basins,Basins,,,,,,,,,,,0.911
TOPTGLO5536-G,ADP,ADP Glory Under Counter Basin - Gloss White - TOPTGLO5536-G,Basins,Basins,,,,,,,,,,,0.888
TOPTGLO5536-TS,ADP,ADP Glory Under Counter Basin - Matte White - TOPTGLO5536-TS,Basins,Basins,,,,,,,,,,,0.848
TOPCGRA5237,ADP,ADP Gravity Under Counter Basin - Gloss White - TOPCGRA5237,Basins,Basins,,,,,,,,,,,0.888
TOPTHON3737-G,ADP,ADP Honour Inset Basin - Gloss White - TOPTHON3737-G,Basins,Basins,Inset,Honour,ceramic,Gloss White,370,370,170,inset,10,12.5,0.6818181818181818
TOPTHOP5026-TS,ADP,ADP Hope Inset Basin - Matte White - TOPTHOP5026-TS,Basins,Basins,Inset,Hope,ceramic,Matte White,550,450,140,inset,5,10.2,0.6749999999999999
TOPTHOP5026-G,ADP,ADP Hope Under Counter Basin - Gloss White - TOPTHOP5026-G,Basins,Basins,,,,,,,,,,,0.888
TOPTKAR412-G,ADP,ADP Karma Above Counter Basin - Gloss White - TOPTKAR412-G,Basins,Basins,,,,,,,,,,,0.911
BT481,ADP,ADP Link Under Counter Basin - Gloss White - BT481,Basins,Basins,,,,,,,,,,,0.888
TOPCLIN5938GW,ADP,ADP Lino Semi-Recessed Basin - Gloss White - TOPCLIN5938GW,Basins,Basins,,,,,,,,,,,0.852
TOPCLOU4537GW,ADP,ADP Louie Above Counter Basin - Gloss White - TOPCLOU4537GW,Basins,Basins,,,,,,,,,,,0.911
TOPSLUK320WM,ADP,ADP Luka Semi-Inset Basin - Matte White - TOPSLUK320WM,Basins,Basins,,,,,,,,,,,0.814
TOPCMAG300GW,ADP,ADP Maggie Above Counter Basin - Gloss White - TOPCMAG300GW,Basins,Basins,,,,,,,,,,,0.911
TOPCMALWH,ADP,ADP Malo Above Counter Basin - Gloss White - TOPCMALWH,Basins,Basins,,,,,,,,,,,0.911
TOPCMAR360GW,ADP,ADP Margot Above Counter Basin - Gloss White - TOPCMAR360GW,Basins,Basins,,,,,,,,,,,0.911
TOPCMAR360MB,ADP,ADP Margot Above Counter Basin - Matte Black - TOPCMAR360MB,Basins,Basins,,,,,,,,,,,0.769
TOPCMAR360MW,ADP,ADP Margot Above Counter Basin - Matte White - TOPCMAR360MW,Basins,Basins,,,,,,,,,,,0.878
TOPCMAR360BW,ADP,ADP Margot Duo Above Counter Basin - Matte Black/White - TOPCMAR360BW,Basins,Basins,,,,,,,,,,,0.843
TOPCMAR360DGW,ADP,ADP Margot Duo Above Counter Basin - Matte Grey/White - TOPCMAR360DGW,Basins,Basins,,,,,,,,,,,0.803
TOPCMAR360WB,ADP,ADP Margot Duo Above Counter Basin - Matte White/Black - TOPCMAR360WB,Basins,Basins,,,,,,,,,,,0.875
TOPCMAX5537GW,ADP,ADP Max Above Counter Basin - Gloss White - TOPCMAX5537GW,Basins,Basins,,,,,,,,,,,0.911
TOPSMIIN55WG,ADP,ADP Miya 550 Semi-Inset Basin - Gloss White - TOPSMIIN55WG,Basins,Basins,,,,,,,,,,,0.869
TOPSMIIN55WM,ADP,ADP Miya 550 Semi-Inset Basin - Matte White - TOPSMIIN55WM,Basins,Basins,,,,,,,,,,,0.814
TOPSMISR55WG,ADP,ADP Miya 550 Semi-Recessed Basin - Gloss White - TOPSMISR55WG,Basins,Basins,,,,,,,,,,,0.852
TOPSMISR55WM,ADP,ADP Miya 550 Semi-Recessed Basin - Matte White - TOPSMISR55WM,Basins,Basins,,,,,,,,,,,0.795
TOPSMIIN75WM,ADP,ADP Miya 750 Semi-Inset Basin - Matte White - TOPSMIIN75WM,Basins,Basins,,,,,,,,,,,0.802
TOPSMISR75WM,ADP,ADP Miya 750 Semi-Recessed Basin - Matte White - TOPSMISR75WM,Basins,Basins,Semi-Recessed,Miya,vitreous china,Matte White,750,,,semi-recessed,,,0.6499999999999998
TOPCNEPWH,ADP,ADP Neptune Above Counter Basin - Gloss White - TOPCNEPWH,Basins,Basins,,,,,,,,,,,0.911
TOPCNES5234,ADP,ADP Nesa Under Counter Basin - Gloss White - TOPCNES5234,Basins,Basins,,,,,,,,,,,0.888
BT416,ADP,ADP Oval Under Counter Basin - Gloss White - BT416,Basins,Basins,,,,,,,,,,,0.889
TOPSOZE5037WG,ADP,ADP Ozera Semi-Inset Basin - Gloss White - TOPSOZE5037WG,Basins,Basins,,,,,,,,,,,0.869
TOPSOZE5037WM,ADP,ADP Ozera Semi-Inset Basin - Matte White - TOPSOZE5037WM,Basins,Basins,,,,,,,,,,,0.814
TOPCPFL5836GW,ADP,ADP Pill Fluted Above Counter Basin - Gloss White - TOPCPFL5836GW,Basins,Basins,,,,,,,,,,,0.903
TOPCPLUWH,ADP,ADP Pluto Above Counter Basin - Gloss White - TOPCPLUWH,Basins,Basins,,,,,,,,,,,0.911
TOPTPRI5537-G,ADP,ADP Pride Semi-Inset Basin - Gloss White - TOPTPRI5537-G,Basins,Basins,,,,,,,,,,,0.869
TOPTPRI5537-TS,ADP,ADP Pride Semi-Inset Basin - Matte White - TOPTPRI5537-TS,Basins,Basins,,,,,,,,,,,0.814
TOPCRESBK,ADP,ADP Resort Above Counter Basin - Matte Black - TOPCRESBK,Basins,Basins,,,,,,,,,,,0.769
TOPTRES400-G,ADP,ADP Respect Semi-Inset Basin - Gloss White - TOPTRES400-G,Basins,Basins,,,,,,,,,,,0.869
TOPTRES400-TS,ADP,ADP Respect Semi-Inset Basin - Matte White - TOPTRES400-TS,Basins,Basins,,,,,,,,,,,0.814
TOPPRIS5636WG,ADP,ADP Rise Semi-Inset Basin - Gloss White - TOPPRIS5636WG,Basins,Basins,,,,,,,,,,,0.849
TOPPRIS5636WM,ADP,ADP Rise Semi-Inset Basin - Matte White - TOPPRIS5636WM,Basins,Basins,,,,,,,,,,,0.792
TOPCROB400GW,ADP,ADP Robbie Above Counter Basin - Gloss White - TOPCROB400GW,Basins,Basins,,,,,,,,,,,0.911
TOPCRFL405GW,ADP,ADP Round Fluted Above Counter Basin - Gloss White - TOPCRFL405GW,Basins,Basins,,,,,,,,,,,0.909
BT016,ADP,ADP Round Under Counter Basin - Gloss White - BT016,Basins,Basins,,,,,,,,,,,0.886
TOPSSAV3232WM,ADP,ADP Sava Semi-Inset Basin - Matte White - TOPSSAV3232WM,Basins,Basins,,,,,,,,,,,0.814
TOPCSCO5446GW,ADP,ADP Scoop Semi-Inset Basin - Gloss White - TOPCSCO5446GW,Basins,Basins,,,,,,,,,,,0.869
BT431,ADP,ADP Scoop Under Counter Basin - Gloss White - BT431,Basins,Basins,,,,,,,,,,,0.888
TOPCSEL4028GW,ADP,ADP Selma Above Counter Basin - Gloss White - TOPCSEL4028GW,Basins,Basins,,,,,,,,,,,0.911
TOPCSEL4028MW,ADP,ADP Selma Ceramic Above Counter Basin - Matte White - TOPCSEL4028MW,Basins,Basins,,,,,,,,,,,0.872
TOPTSIN5037-G,ADP,ADP Sincerity Under Counter Basin - Gloss White - TOPTSIN5037-G,Basins,Basins,,,,,,,,,,,0.888
TOPTSIN5037-TS,ADP,ADP Sincerity Under Counter Basin - Matte White - TOPTSIN5037-TS,Basins,Basins,,,,,,,,,,,0.848
TOPCSTA4632GW,ADP,ADP Stadium Above Counter Basin - Gloss White - TOPCSTA4632GW,Basins,Basins,,,,,,,,,,,0.911
TOPCSTA4632MB,ADP,ADP Stadium Above Counter Basin - Matte Black - TOPCSTA4632MB,Basins,Basins,,,,,,,,,,,0.769
TOPTSTR5543-TS,ADP,ADP Strength Under Counter Basin - Matte White - TOPTSTR5543-TS,Basins,Basins,,,,,,,,,,,0.848
TOPCTITWH,ADP,ADP Titan Above Counter Basin - Gloss White - TOPCTITWH,Basins,Basins,,,,,,,,,,,0.911
TOPTTRU3737-G,ADP,ADP Truth Semi-Inset Basin - Gloss White - TOPTTRU3737-G,Basins,Basins,,,,,,,,,,,0.869
TOPTTRU3737-TS,ADP,ADP Truth Semi-Inset Basin - Matte White - TOPTTRU3737-TS,Basins,Basins,,,,,,,,,,,0.814
TOPCVENWH,ADP,ADP Venus Semi-Inset Basin - Gloss White - TOPCVENWH,Basins,Basins,,,,,,,,,,,0.869
TOPCVENBK,ADP,ADP Venus Semi-Inset Basin - Matte Black - TOPCVENBK,Basins,Basins,,,,,,,,,,,0.654
TOPSZEY5832WG,ADP,ADP Zeya Semi-Inset Basin - Gloss White - TOPSZEY5832WG,Basins,Basins,,,,,,,,,,,0.869
TOPSZEY5832WM,ADP,ADP Zeya Semi-Inset Basin - Matte White - TOPSZEY5832WM,Basins,Basins,,,,,,,,,,,0.814
13136,Abey,Abey Edwardian Basin & Stand 610mm 1 Tap Hole - Gloss White - 13136,Basins,Basins,Vanity,Edwardian,ceramic,Gloss White,610,,,Stand Mounted,,,0.6416666666666665
13137,Abey,Abey Edwardian Basin & Stand 610mm 3 Tap Holes - Gloss White - 13137,Basins,Basins,Countertop,Edwardian,vitreous china,Gloss White,610,,,,,,0.6416666666666665
CR340B,Abey,Abey Piazza Square Bowl Black Pearl - CR340B,Basins,Basins,Countertop,Piazza,ceramic,Black Pearl,340,,,countertop,,,0.6416666666666665
CNA-3-845,Abey,Abey Universal Concertina - CNA-3-845,Basins,Basins,Undermount,Universal Concertina,stainless steel,,845,410,200,undermount,10,7.5,0.67
AR04631,Arcisan,Arcisan 400 Above Counter Basin - Gloss White - AR04631,Basins,Basins,,,,,,,,,,,0.95
AR04631.MB,Arcisan,Arcisan 400 Above Counter Basin - Matte Black - AR04631.MB,Basins,Basins,,,,,,,,,,,0.812
AR04631.MW,Arcisan,Arcisan 400 Above Counter Basin - Matte White - AR04631.MW,Basins,Basins,,,,,,,,,,,0.909
AR04635,Arcisan,Arcisan 580 Above Counter Basin - Gloss White - AR04635,Basins,Basins,,,,,,,,,,,0.96
AR04635.MB,Arcisan,Arcisan 580 Above Counter Basin - Matte Black - AR04635.MB,Basins,Basins,,,,,,,,,,,0.831
AR04635.MW,Arcisan,Arcisan 580 Above Counter Basin - Matte White - AR04635.MW,Basins,Basins,,,,,,,,,,,0.923
FC20TUL01,Argent,Argent Azure 450mm Round Inset Basin 1 tap Hole - Gloss White - FC20TUL01,Basins,Basins,Inset,Azure,vitreous china,Gloss White,450,450,,Inset,,,0.6699999999999999
D6051,Argent,Argent Azure Neu 510 Oval Drop-In Basin - 1 Tap Hole Gloss White - D6051,Basins,Basins,Countertop,Azure Neu,ceramic,Gloss White,510,,,Drop-in,,,0.6749999999999999
W2138,Argent,Argent Evo Neu 380 Square Countertop/Wall Basin - 1 Tap Hole Gloss White - W2138,Basins,Basins,Countertop/Wall,Argent Evo Neu,vitreous china,Gloss White,380,,,countertop,,,0.6499999999999998
S4041,Argent,Argent Evo Neu 410 Semi-Recessed Basin - 1 Tap Hole Gloss White - S4041,Basins,Basins,Semi-Recessed,Evo Neu,vitreous china,Gloss White,410,380,,Countertop|Wall Mounted,,,0.6538461538461537
W2142,Argent,Argent Evo Neu 420 Square Countertop/Wall Basin - 1 Tap Hole Gloss White - W2142,Basins,Basins,Countertop/Wall,Argent Evo Neu,vitreous china,Gloss White,420,,,Countertop/Wall Mounted,,,0.6749999999999999
W2142MW,Argent,Argent Evo Neu 420 Square Countertop/Wall Basin - 1 Tap Hole Matte White - W2142MW,Basins,Basins,Countertop/Wall Basin,Argent Evo Neu,vitreous china,Matte White,420,,,,,,0.6416666666666665
W2150,Argent,Argent Evo Neu 500 Rectangular Countertop/Wall Basin - 1 Tap Hole Gloss White - W2150,Basins,Basins,Countertop/Wall Basin,Argent Evo Neu,vitreous china,Gloss White,500,,,Countertop/Wall Mounted,,,0.6749999999999999
W2150N,Argent,Argent Evo Neu 500 Rectangular Countertop/Wall Basin - No Tap Hole Gloss White - W2150N,Basins,Basins,Countertop/Wall Basin,Evo Neu,vitreous china,Gloss White,500,420,,countertop,,,0.6777777777777777
V3135,Argent,Argent Grace Neu 355 Round Vessel Basin - No Tap Hole Gloss White - V3135,Basins,Basins,Countertop,Argent Grace Neu,vitreous china,Gloss White,355,355,140,countertop,7,8.9,0.6749999999999999
V3135MB,Argent,Argent Grace Neu 355 Round Vessel Basin - No Tap Hole Matte Black - V3135MB,Basins,Basins,Vessel,Grace Neu,vitreous china,Matte Black,355,355,140,Countertop,10,16.5,0.6749999999999999
V3135MW,Argent,Argent Grace Neu 355 Round Vessel Basin - No Tap Hole Matte White - V3135MW,Basins,Basins,Vessel,Grace Neu,vitreous china,Matte White,355,,,,,,0.6833333333333332
V2136,Argent,Argent Grace Neu 360 Square Vessel Basin - Gloss White - V2136,Basins,Basins,Vessel,Grace Neu 360,ceramic,Gloss White,360,360,145,countertop,10,13.5,0.6749999999999999
V2136MB,Argent,Argent Grace Neu 360 Square Vessel Basin - Matte Black - V2136MB,Basins,Basins,Vessel,Grace Neu 360,ceramic,Matte Black,360,360,100,countertop,,,0.6888888888888889
V2136MW,Argent,Argent Grace Neu 360 Square Vessel Basin - Matte White - V2136MW,Basins,Basins,Vessel,Grace Neu,vitreous china,Matte White,355,355,360,countertop,5,,0.6818181818181818
V2147,Argent,Argent Grace Neu 470 Rectangular Vessel Basin - Gloss White - V2147,Basins,Basins,Countertop,Argent Grace Neu,ceramic,Gloss White,470,320,145,countertop,10,9.0,0.6818181818181818
V2147MB,Argent,Argent Grace Neu 470 Rectangular Vessel Basin - Matte Black - V2147MB,Basins,Basins,Vessel,Grace Neu,vitreous china,Matte Black,470,,,Vessel,,,0.6416666666666665
V2147MW,Argent,Argent Grace Neu 470 Rectangular Vessel Basin - Matte White - V2147MW,Basins,Basins,Countertop,Grace Neu,ceramic,Matte White,470,,,Countertop,,,0.6857142857142857
C2250,Argent,Argent Grace Neu 505 Oval Above Counter Basin - 1 Tap Hole Gloss White - C2250,Basins,Basins,Above Counter,Grace Neu,vitreous china,Gloss White,505,360,,Above Counter,,,0.6777777777777777
C2250MB,Argent,Argent Grace Neu 505 Oval Above Counter Basin - 1 Tap Hole Matte Black - C2250MB,Basins,Basins,Countertop|Wall Mounted,Evo Neu,ceramic,Matte Black,505,420,150,Countertop|Wall Mounted,10,9.0,0.6749999999999999
C2250MW,Argent,Argent Grace Neu 505 Oval Above Counter Basin - 1 Tap Hole Matte White - C2250MW,Basins,Basins,Above Counter,Grace Neu,vitreous china,Matte White,505,,,,,,0.6714285714285714
V1052,Argent,Argent Grace Neu 520 Oval Above Counter Basin - Gloss White - V1052,Basins,Basins,Above Counter,Grace Neu,vitreous china,Gloss White,520,,,Above Counter,,,0.6666666666666665
V1052MB,Argent,Argent Grace Neu 520 Oval Above Counter Basin - Matte Black - V1052MB,Basins,Basins,Above Counter,Grace Neu,vitreous china,Matte Black,520,355,,Above Counter,,,0.6538461538461537
V1052MW,Argent,Argent Grace Neu 520 Oval Above Counter Basin - Matte White - V1052MW,Basins,Basins,Above Counter,Grace Neu,ceramic,Matte White,520,355,,Above Counter,,,0.6538461538461537
U6046MB,Argent,Argent Pace 460 Rectangular Under Counter Basin - No Tap Hole Matte Black - U6046MB,Basins,Basins,Undermount,Pace,vitreous china,Matte Black,460,,,undermount,,,0.6499999999999998
U6046MW,Argent,Argent Pace 460 Rectangular Under Counter Basin - No Tap Hole Matte White - U6046MW,Basins,Basins,Undermount,Argent Pace,vitreous china,Matte White,460,,,Undermount,,,0.6499999999999998
K316-DWC,Argent,Argent Pop up Waste 32mm 2 piece - White Ceramic - K316-DWC,Basins,Basins,Pop Up Waste,None,ceramic,White,32,,,,,,0.6333333333333332
S4050,Argent,Argent Zen Neu 500 Semi Recessed Basin - 1 Tap Hole Gloss White - S4050,Basins,Basins,Semi Recessed,Evo Neu,vitreous china,Gloss White,500,410,120,Semi Recessed,10,,0.6818181818181818
U6052,Argent,Argent Zen Neu 535 Under Counter Basin - No Tap Hole Gloss White - U6052,Basins,Basins,Undermount,Zen Neu,vitreous china,Gloss White,535,470,170,,,,0.6777777777777777
U6052MB,Argent,Argent Zen Neu 535 Under Counter Basin - No Tap Hole Matte Black - U6052MB,Basins,Basins,Undermount,Zen Neu,vitreous china,Matte Black,535,,,Undermount,,,0.6666666666666665
U6052MW,Argent,Argent Zen Neu 535 Under Counter Basin - No Tap Hole Matte White - U6052MW,Basins,Basins,Undermount,Zen Neu,vitreous china,Matte White,535,,,Undermount,,,0.6666666666666665
FC06TAL00,Argent,Argent Zen Under Counter Basin - Gloss White - FC06TAL00,Basins,Basins,Undermount,Zen,vitreous china,Gloss White,590,390,120,undermount,,,0.6571428571428571
1.9500.00.6.01,Brodware,Brodware Halo Marble Basin Set - Chrome - 1.9500.00.6.01,Basins,Basins,Countertop,Halo,marble,Chrome,520,420,150,countertop,1,25.0,0.6749999999999999
1.9200.00.3.01,Brodware,Brodware Nanobar Basin Set with Swivel Spout - Chrome - 1.9200.00.3.01,Basins,Basins,Wall Hung,Nanobar,brass,Chrome,,,,Wall Mounted,,,0.6833333333333332
1.8000.02.3.01,Brodware,Brodware Neu England Basin Set Metal Levers - Chrome - 1.8000.02.3.01,Basins,Basins,Countertop,Neu England,metal,Chrome,380,340,145,countertop,15,3.8,0.65
1.8000.02.4.01,Brodware,Brodware Neu England Basin Set White Porcelain Levers - Chrome - 1.8000.02.4.01,Basins,Basins,Wall Hung,Neu England,porcelain,"White, Chrome",450,360,145,,25,15.0,0.6636363636363636
1.8100.00.4.01,Brodware,Brodware Winslow Basin Set White Porcelain Lever - Chrome - 1.8100.00.4.01,Basins,Basins,Wall Hung,Winslow,porcelain,"White, Chrome",460,340,180,Wall Mounted,25,10.5,0.6533333333333332
1.8100.02.4.01,Brodware,Brodware Winslow Basin Set White Porcelain Lever 1.8100.02.4.G1 - Chrome,Basins,Basins,Wall Hung,Winslow,porcelain,"White, Chrome",500,450,125,wall mounted,10,10.0,0.6666666666666666
1.9300.00.6.01,Brodware,Brodware Yokato Disc Basin Set - Chrome - 1.9300.00.6.01,Basins,Basins,Countertop,Yokato,brass,Chrome,480,320,150,Countertop,7,5.16,0.6599999999999999
633315W,Caroma,Caroma Basa Inset Basin - 1 Tap Hole - Gloss White - 633315W,Basins,Basins,,,,,,,,,,,0.947
659710W,Caroma,Caroma Caravelle 550 Semi Recessed Basin - 1 Tap Hole - Gloss White - 659710W,Basins,Basins,,,,,,,,,,,0.916
659730W,Caroma,Caroma Caravelle 550 Semi Recessed Basin - 3 Tap Holes - Gloss White - 659730W,Basins,Basins,,,,,,,,,,,0.797
659405W,Caroma,Caroma Caravelle Under Counter Basin - Gloss White - 659405W,Basins,Basins,,,,,,,,,,,0.94
639050W,Caroma,Caroma Caravelle Wall Basin - 1 Tap Hole - Gloss White - 639050W,Basins,Basins,,,,,,,,,,,0.964
639030W,Caroma,Caroma Caravelle Wall Basin - 3 Tap Holes - Gloss White - 639030W,Basins,Basins,,,,,,,,,,,0.921
639000W,Caroma,Caroma Caravelle Wall Basin - No Tap Hole - Gloss White - 639000W,Basins,Basins,,,,,,,,,,,0.978
865815W,Caroma,Caroma Carboni II Above Counter Basin - 1 Tap Hole - Gloss White - 865815W,Basins,Basins,,,,,,,,,,,0.958
865835W,Caroma,Caroma Carboni II Above Counter Basin - 3 Tap Holes - Gloss White - 865835W,Basins,Basins,,,,,,,,,,,0.902
865615W,Caroma,Caroma Carboni II Inset Basin - 1 Tap Hole - Gloss White - 865615W,Basins,Basins,,,,,,,,,,,0.931
865635W,Caroma,Caroma Carboni II Inset Basin - 3 Tap Holes - Gloss White - 865635W,Basins,Basins,,,,,,,,,,,0.827
865915W,Caroma,Caroma Carboni II Semi Recessed Basin - 1 Tap Hole - Gloss White - 865915W,Basins,Basins,,,,,,,,,,,0.9
865715W,Caroma,Caroma Carboni II Wall Basin - 1 Tap Hole - Gloss White - 865715W,Basins,Basins,,,,,,,,,,,0.926
866015W,Caroma,Caroma Carboni Seamless Inset Vanity Basin - Gloss White - 1 Tap Hole - 866015W,Basins,Basins,,,,,,,,,,,0.956
873210W,Caroma,Caroma Care 500 Wall Basin - 1 Tap Hole - Gloss White - 873210W,Basins,Basins,,,,,,,,,,,0.952
873200W,Caroma,Caroma Care 500 Wall Basin - No Tap Hole - Gloss White - 873200W,Basins,Basins,,,,,,,,,,,0.971
873110W,Caroma,Caroma Care 600 Wall Basin - 1 Tap Hole - Gloss White - 873110W,Basins,Basins,,,,,,,,,,,0.935
873100W,Caroma,Caroma Care 600 Wall Basin - No Tap Hole - Gloss White - 873100W,Basins,Basins,,,,,,,,,,,0.96
873410W,Caroma,Caroma Care 700 Wall Basin - 1 Tap Holes - Gloss White - 873410W,Basins,Basins,,,,,,,,,,,0.876
873300W,Caroma,Caroma Care 700 Wall Basin - No Tap Hole - Gloss White - 873300W,Basins,Basins,,,,,,,,,,,0.969
873400W,Caroma,Caroma Care 700 Wall Basin - No Tap Hole - Gloss White - 873400W,Basins,Basins,,,,,,,,,,,0.969
664115W,Caroma,Caroma Centro Vanity Basin - 1 Tap Hole - Gloss White - 664115W,Basins,Basins,,,,,,,,,,,0.933
664135W,Caroma,Caroma Centro Vanity Basin - 3 Tap Holes - Gloss White - 664135W,Basins,Basins,,,,,,,,,,,0.839
632700W,Caroma,Caroma Clinic 600 Wall Basin - Gloss White - No Tap Hole - 632700W,Basins,Basins,,,,,,,,,,,0.957
654210W,Caroma,Caroma Concorde 500 Semi Recessed Basin - 1 Tap Hole - Gloss White - 654210W,Basins,Basins,,,,,,,,,,,0.906
654230W,Caroma,Caroma Concorde 500 Semi Recessed Basin - 3 Tap Holes - Gloss White - 654230W,Basins,Basins,,,,,,,,,,,0.777
654110W,Caroma,Caroma Concorde Inset Basin - 1 Tap Hole - Gloss White - 654110W,Basins,Basins,,,,,,,,,,,0.947
654130W,Caroma,Caroma Concorde Inset Basin - 3 Tap Holes - Gloss White - 654130W,Basins,Basins,,,,,,,,,,,0.873
631010W,Caroma,Caroma Concorde Wall Basin - 1 Tap Hole - Gloss White - 631010W,Basins,Basins,,,,,,,,,,,0.964
631030W,Caroma,Caroma Concorde Wall Basin - 3 Tap Holes - Gloss White - 631030W,Basins,Basins,,,,,,,,,,,0.921
853200CL,Caroma,Caroma Contura II 530mm Above Counter Basin - Matte Clay - 853200CL,Basins,Basins,,,,,,,,,,,0.746
853200MW,Caroma,Caroma Contura II 530mm Above Counter Basin - Matte White - 853200MW,Basins,Basins,,,,,,,,,,,0.901
853200W,Caroma,Caroma Contura II 530mm Above Counter Basin - White - 853200W,Basins,Basins,,,,,,,,,,,0.83
853300CL,Caroma,Caroma Contura II 530mm Inset Basin - Matte Clay - 853300CL,Basins,Basins,,,,,,,,,,,0.562
853300MW,Caroma,Caroma Contura II 530mm Inset Basin - Matte White - 853300MW,Basins,Basins,,,,,,,,,,,0.829
853300W,Caroma,Caroma Contura II 530mm Inset Basin - White - 853300W,Basins,Basins,,,,,,,,,,,0.684
853410CL,Caroma,Caroma Contura II 530mm Inset Basin with Tap Landing (1 Tap Hole) - Matte Clay - 853410CL,Basins,Basins,,,,,,,,,,,0.566
853410MW,Caroma,Caroma Contura II 530mm Inset Basin with Tap Landing (1 Tap Hole) - Matte White - 853410MW,Basins,Basins,,,,,,,,,,,0.712
853410W,Caroma,Caroma Contura II 530mm Inset Basin with Tap Landing (1 Tap Hole) - White - 853410W,Basins,Basins,,,,,,,,,,,0.606
853710CL,Caroma,Caroma Contura II Hand Wall Basin (1 Tap Hole) - Matte Clay - 853710CL,Basins,Basins,,,,,,,,,,,0.748
853710MW,Caroma,Caroma Contura II Hand Wall Basin (1 Tap Hole) - Matte White - 853710MW,Basins,Basins,,,,,,,,,,,0.864
853710W,Caroma,Caroma Contura II Hand Wall Basin (1 Tap Hole) - White - 853710W,Basins,Basins,,,,,,,,,,,0.838
853600CL,Caroma,Caroma Contura II Undercounter Basin - Matte Clay - 853600CL,Basins,Basins,,,,,,,,,,,0.761
853600MW,Caroma,Caroma Contura II Undercounter Basin - Matte White - 853600MW,Basins,Basins,,,,,,,,,,,0.728
853600W,Caroma,Caroma Contura II Undercounter Basin - White - 853600W,Basins,Basins,,,,,,,,,,,0.421
894015W,Caroma,Caroma Cosmo Inset Basin - Gloss White - 1 Tap Hole - 894015W,Basins,Basins,,,,,,,,,,,0.974
893315W,Caroma,Caroma Cosmo Inset Vanity Basin - 1 Tap Hole - Gloss White - 893315W,Basins,Basins,,,,,,,,,,,0.931
864015W,Caroma,Caroma Cosmo Semi Recessed Basin - 1 Tap Hole - Gloss White - 864015W,Basins,Basins,,,,,,,,,,,0.916
864035W,Caroma,Caroma Cosmo Semi Recessed Basin - 3 Tap Holes - Gloss White - 864035W,Basins,Basins,,,,,,,,,,,0.797
895005W,Caroma,Caroma Cosmo Under-Above Counter Basin - Gloss White - 895005W,Basins,Basins,,,,,,,,,,,0.956
861515W,Caroma,Caroma Cosmo Wall Basin - 1 Tap Hole - Gloss White - 861515W,Basins,Basins,,,,,,,,,,,0.964
861535W,Caroma,Caroma Cosmo Wall Basin - 3 Tap Holes - Gloss White - 861535W,Basins,Basins,,,,,,,,,,,0.921
683455W,Caroma,Caroma Cube 500 Under Counter Basin - Gloss White - 683455W,Basins,Basins,,,,,,,,,,,0.894
864215W,Caroma,Caroma Cube Extension Basin - Left Hand Shelf - Gloss White - 864215W,Basins,Basins,,,,,,,,,,,0.566
864115W,Caroma,Caroma Cube Extension Basin - Right Hand Shelf - Gloss White - 864115W,Basins,Basins,,,,,,,,,,,0.537
633615W,Caroma,Caroma Cubus Wall Basin - Gloss White - 1 Tap Hole - 633615W,Basins,Basins,,,,,,,,,,,0.986
651300W,Caroma,Caroma Flora Wall Basin Shroud - Gloss White - 651300W,Basins,Basins,,,,,,,,,,,0.973
96372BB6AF,Caroma,Caroma Liano II 175mm Basin / Bath Outlet (Round Cover Plate) - LF Brushed Brass - 96372BB6AF,Basins,Basins,,,,,,,,,,,0.85
96374BN6AF,Caroma,Caroma Liano II 210mm Basin / Bath Outlet (Round Cover Plate) - LF Brushed Nickel - 96374BN6AF,Basins,Basins,,,,,,,,,,,0.85
852500W,Caroma,Caroma Liano II 400mm Above Counter Basin - Gloss White - 852500W,Basins,Basins,,,,,,,,,,,0.937
852500MB,Caroma,Caroma Liano II 400mm Above Counter Basin - Matte Black - 852500MB,Basins,Basins,,,,,,,,,,,0.782
852500MG,Caroma,Caroma Liano II 400mm Above Counter Basin - Matte Green - 852500MG,Basins,Basins,,,,,,,,,,,0.782
852500MP,Caroma,Caroma Liano II 400mm Above Counter Basin - Matte Pink - 852500MP,Basins,Basins,,,,,,,,,,,0.782
852500MS,Caroma,Caroma Liano II 400mm Above Counter Basin - Matte Speckled - 852500MS,Basins,Basins,,,,,,,,,,,0.782
852500MW,Caroma,Caroma Liano II 400mm Above Counter Basin - Matte White - 852500MW,Basins,Basins,,,,,,,,,,,0.89
852400W,Caroma,Caroma Liano II 400mm Round Inset Basin - Gloss White - 852400W,Basins,Basins,,,,,,,,,,,0.906
852400MB,Caroma,Caroma Liano II 400mm Round Inset Basin - Matte Black - 852400MB,Basins,Basins,,,,,,,,,,,0.617
852600MG,Caroma,Caroma Liano II 440MM Round Under/Over Counter Basin - Matte Green - 852600MG,Basins,Basins,,,,,,,,,,,0.641
852600MGR,Caroma,Caroma Liano II 440MM Round Under/Over Counter Basin - Matte Grey - 852600MGR,Basins,Basins,,,,,,,,,,,0.575
